PostCode_clean,AddressLine1,Companies_at_Address,Companies_in_Postcode,Address_share_in_PC,Share_of_all_companies
EC3V 3NG,INTERNATIONAL HOUSE,122,175,69.7%,0.02
N3 2JU,"24-26, ARCADIA AVENUE",122,309,39.5%,0.02
SM4 6RW,"MARSHALL HOUSE, SUITE 21-25",121,184,65.8%,0.02
W1G 0PW,14TH FLOOR,121,193,62.7%,0.02
PO8 0BT,UNIT 29 HIGHCROFT INDUSTRIAL ESTATE,120,225,53.3%,0.02
EH7 5JA,SUITE 1,120,197,60.9%,0.02
DN32 7AA,6-8 FREEMAN STREET,117,118,99.2%,0.02
SE1 2AQ,3 MORE LONDON RIVERSIDE,116,146,79.5%,0.02
EH2 3JG,101 ROSE STREET SOUTH LANE,116,124,93.5%,0.02
W8 4LZ,FIRST FLOOR OFFICE,115,122,94.3%,0.02
M6 6DE,158 CROMWELL ROAD,114,156,73.1%,0.02
DA14 6NE,ONEGA HOUSE,113,125,90.4%,0.02
E14 5HU,5 CHURCHILL PLACE,111,305,36.4%,0.02
BN27 1DW,30-34 NORTH STREET,110,143,76.9%,0.02
PR7 4EX,"1ST FLOOR, FAIRCLOUGH HOUSE",110,143,76.9%,0.02
SW3 2EA,13 CRESCENT PLACE,110,111,99.1%,0.02
N14 6HF,284 CHASE ROAD,110,285,38.6%,0.02
KT1 4AS,1 PARK ROAD,109,110,99.1%,0.02
W1W 8BD,3RD FLOOR GREAT TITCHFIELD HOUSE,108,147,73.5%,0.02
NN12 7LS,GRAFTON HOUSE,108,209,51.7%,0.02
N16 6DW,C/O 32 CASTLEWOOD ROAD,107,121,88.4%,0.02
BR1 1LT,DEVONSHIRE HOUSE,105,225,46.7%,0.02
N3 2LN,338A REGENTS PARK ROAD,105,126,83.3%,0.02
LS25 1NB,BROOKFIELD COURT SELBY ROAD,104,161,64.6%,0.02
SW19 2RR,"OFFICE 9, DALTON HOUSE",104,187,55.6%,0.02
CM13 1AB,"CREATE BUSINESS HUB, GROUND FLOOR 5 RAYLEIGH ROAD",104,126,82.5%,0.02
N16 9BS,17 GREEN LANES,104,106,98.1%,0.02
NW8 0DL,55 LOUDOUN ROAD,103,110,93.6%,0.01
E17 6BU,UNIT DA2 SUTHERLAND HOUSE,103,110,93.6%,0.01
N1 7SR,INTERNATIONAL HOUSE,103,141,73.0%,0.01
RM1 3JT,10 WESTERN ROAD,103,108,95.4%,0.01
LS19 7EW,25-29 SANDY WAY,103,111,92.8%,0.01
BN6 8QL,ASM HOUSE,102,118,86.4%,0.01
NW1 3ER,ACRE HOUSE,102,107,95.3%,0.01
BD1 3RG,46 HOUGHTON PLACE,101,101,100.0%,0.01
B90 8AH,LUMANERI HOUSE BLYTHE GATE,101,116,87.1%,0.01
EC2A 4LU,4TH FLOOR,101,103,98.1%,0.01
SS9 1PE,57A BROADWAY,101,101,100.0%,0.01
